Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2024,2.7386212517831,3.06092615480603,2.47347495187966,1.20995340906685,1.96879560341303,5.07014517050642,5.83587039055907,4.8901202194589,3.46229013158482,30.7101972830579,158.496791000544,25.9464179634958,150.0985491981,0.183083356656367,0.221456979224102,0.0852382599306358,0.0721850200624988,0.100010330216564,0.0289758608849951,0.0161281343187944,0.00379263654488239,0.710870577838839
2025,3.20632062154646,2.06957134755651,2.33115983744836,1.95503144945261,0.97194307345394,1.60465795693277,4.13861782916511,4.77325747841898,4.00369180991945,25.0542514038942,132.781354370879,20.3469131410798,124.852477859735,0.123787393091977,0.208715117692034,0.137727186528223,0.035635862928205,0.0316524215304575,0.0205487796075883,0.0157427086237666,0.00438569481344889,0.5781951648157
2026,6.83287138799073,2.42301095308878,1.57615746416573,1.8425457643907,1.57045656588179,0.792177808503751,1.30983745177661,3.38504579117084,3.90801268994108,23.64011587691,104.330846166806,15.2805075195417,93.5371424127332,0.144927697066494,0.141117689722473,0.129802844987521,0.0575800954242975,0.0156259755005754,0.00650351451362504,0.0111642394757554,0.00428088669130401,0.511002943382045
2027,17.8943443834316,5.1635891005071,1.84533227326289,1.24579285081977,1.4800979771631,1.27999352502152,0.646632609498852,1.07133829125479,2.77144108980875,33.3985621007683,86.1759399774661,12.5533567124306,61.8992518770167,0.308850059460182,0.165217646773011,0.0877630609924063,0.054267137731701,0.0252483056810934,0.0032106156036041,0.00353338713299298,0.00303587173798922,0.65112608511298
2028,21.6509640495478,13.5227251286195,3.93251941386709,1.45854827685934,1.00073252675618,1.20634716573806,1.0448229480066,0.528891790344283,0.877137606000311,45.2226889057392,84.211123545731,16.0238584091082,47.0698892468593,0.808835555801232,0.352089221470923,0.102751160675021,0.0366914155008579,0.0237956063079015,0.00518768279019122,0.00174434113109066,0.000960827664053874,1.33205581134127
2029,15.3456711204952,16.3615961187572,10.2987240195898,3.10825833261445,1.1716367625138,0.815642522279571,0.984707482801259,0.854578428997378,0.433019973805337,49.373834761854,97.2042492302542,23.7876207780622,55.5811163540489,0.978637113794625,0.922072936096592,0.218969201377173,0.0429575437193196,0.0160888249248498,0.00488920163138331,0.00281849015367133,0.000474335574115043,2.18690764727173
2030,11.7331216897259,11.5966971479989,12.4607696558478,8.14009833907168,2.49683180711895,0.954937247088262,0.665786199686717,0.80540896931845,0.699669640737222,49.5533206965938,114.736749734128,29.5296965016989,77.3594584514499,0.693633930583177,1.1156467967037,0.573450029470015,0.0915452339374995,0.0188364605362678,0.00330571568766861,0.00265632406889315,0.000766427002924237,2.49984091799015
2031,13.8211050863475,8.86669978575547,8.83188723648908,9.84897645438227,6.53885690028047,2.03503147785916,0.779488591278063,0.544557836963601,0.659413091985856,51.9260164613415,131.21445698195,31.9051840348184,98.731960414661,0.530344437317296,0.790743026022738,0.693836315331185,0.239744296317149,0.0401416849532669,0.0038702629549232,0.00179600941178352,0.000722329468586355,2.30119836177693
2032,18.8626099136264,10.4445852304873,6.75275827834368,6.98071241523342,7.9115810358603,5.32946575870556,1.66113933111286,0.63755695357447,0.445846247951726,59.0262551648957,150.286904801121,33.5908009803569,114.407104706082,0.624722592499885,0.604592922445447,0.491774125261222,0.290074619635287,0.105125516623575,0.0082477743588663,0.00210273034642657,0.000488385637574054,2.12712866680828
2033,22.1195951622338,14.2544417165972,7.95445442873196,5.33737153662336,5.6075341652971,6.44829836022763,4.35029397919601,1.35867406304251,0.521987484730129,67.9526508966797,174.953626661919,37.1149439904009,131.325142189162,0.852601763240687,0.712184066316941,0.376004777519449,0.205597760133864,0.127194868520279,0.0215997794183259,0.00448105093552003,0.000571791714535644,2.3002358577996
